,tweets,label
31,A resolution introduced to the House of Representatives seeks to repeal the authorization for use of military force against Iraq.,0
32,Schoolkids are smoking and injecting crushed bedbugs to get high from a hallucinogenic substance they contain.,1
33,A vintage advertisement offered a 'Big Dick' machine gun for boys.,0
34,'Hillary Clinton and her campaign of 2008 started the birther controversy.',1
35,Mental health provisions related to mass shootings 'got over 90 votes in the Senate.',0
36,Claims to show a photo of Alexandria Ocasio-Cortez with her legs spread.,1
37,"'Over the next two years, this $1.8 billion deficit will cost individual Wisconsinites $300 each, or $1,200 for families of four.'",1
38,Obamacare is 'one big fat VA system.',1
39,"The morning after a one-night fling, a man walks into his bathroom and finds the words “WELCOME TO THE WORLD OF AIDS” scrawled on the mirror in lipstick.",1
40,"'13,000 Floridians are able to vote -- but their governor won't tell them.'",1
41,The Senate Republican education plan is an unfunded mandate for local school districts.,0
42,At least 260 members of the U.S. Congress have settled sexual assault charges.,1
43,Henry Kissinger spoke to a 'eugenics council' on controlling populations through forcible vaccinations.,1
44,A student's school assignment to write an essay on her hero was rejected by her teacher because she chose 'Jesus Christ' as her subject.,1
45,'We haven’t had control of the House for the last two years and it’s been malfunctioning. We had 109 sessions scheduled and held 49.',0
46,The Mueller report was leaked.,1
47,The Washington Redskins were stranded in their locker rooms overnight by Philadelphia police angry that players 'took a knee' during a game against the Eagles on 23 October 2017.,1
48,A 1944 article describes Republican calls for U.S. forces to be withdrawn from Europe.,1
49,Providence's port is '200 miles closer to Europe than any other Eastern port.',1
50,Republican presidential candidate Donald Trump has died of a 'violent heart attack.',1
51,Whoopi Goldberg called Judge Jeanine  Pirro a 'sand n***er' after the latter's appearance on 'The View.',1
52,'There are still tens of thousands of missing service members from previous and current conflicts that our nation is working to find and repatriate.',0
53,A dangerous new drug known as 'gray death' can kill through the air and skin contact.,0
54,Hillary Clinton said in a speech that Christians in America must deny their faith in Christianity.,1
55,Donald Trump has been disqualified from running for President due to his comments about Muslims.,1
56,"Virginia spends $400,000 on abstinence programs while losing $2.5 million in federal funds due to Gov. Bob McDonnell’s 'political agenda.'",0
57,November 2018 marked the first Veterans Day in 56 years upon which the sitting U.S. president did not attend a wreath-laying ceremony at the Tomb of the Unknown Soldier in Arlington National Cemetery.,1
58,"A registrar, as a joke, fills one entire class with students whose last names are also animal names (e.g., Byrd, Fox, Lyon, Finch, Lamb).",1
59,Sen. Lindsey Graham called President Donald Trump a 'race-baiting xenophobic bigot' in 2015 but in 2018 claimed that he had 'never heard him make a single racist statement.',0
60,"Secret flights whisked bin Laden family members and Saudi nationals out of the U.S. immediately after September 11 while a general ban on air travel was still in effect, and before the FBI had any opportunity to question any of the passengers.",1
61,A teen boy died of 'orgasmic shock' after masturbating 46 times in a row.,1
62,Donald Trump paid Sarah Palin $10 million for her endorsement.,1
63,McDonald's released a holiday cup that unintentionally featured a risqué image.,1
64,"A Black Lives Matter protest in Memphis obstructed I-40, leading to the death of a critically ill child transplant patient.",1
65,The Bitstrips app is a trojan horse that gives the NSA secret access to personal user information.,1
66,A photograph shows a large species of megabat.,0
67,Says the White House nativity scene was removed by the Obamas and 'is back in the White House thanks to First Lady Melania Trump.',1
68,A photograph shows a shark swimming down a highway after a hurricane.,1
69,All 'Obama phones' will be cut off after 31 December 2016.,1
70,George Zimmerman said that it was God’s plan for him to shoot Trayon Martin.,1
71,An Oklahoma teacher was fired for praying when a tornado hit her school.,1
72,'FBI issues Warrant For Obama’s Arrest After Confirming Illegal Trump Tower Wiretap.',1
73,Monstrously large catfish lurk underwater at the base of dams.,1
74,California has 'the highest poverty rate in the nation' when considering the U.S. Census Bureau’s Supplemental Poverty Measure.,0
75,Chipotle has stopped offering pork at its restaurants in order to appease Muslim customers.,1
76,Says state Senate recall challenger Sandy Pasch voted 'to cut school aid by nearly $300 million.',0
77,"A species of cephalopod known as the Pacific Northwest Tree Octopus, that can live on both land and water, is endangered.",1
78,'The fact is voter fraud is rampant.',1
79,A photograph shows President Trump with balloons stuffed into his shirt.,1
80,"'Over half of the young people' in medical, dental and law schools are women.",1
81,President Obama declared that he would move his family to Canada if Donald Trump were elected president.,1
82,Razor blades were discovered glued to playground equipment in a public park.,0
83,A Denver man murdered a woman whose behavior was inspired by the #WasteHisTime hashtag on Twitter.,1
84,'(Palin) supported right-wing extremist Pat Buchanan for president in 2000.',1
85,Vanna White was fired from her hostess role on 'Wheel of Fortune' due to her compulsive roulette playing.,1
86,Barack Obama wants to 'unilaterally disarm our nation.',1
87,'Most of the jobs that we lost were lost before the economic policies we put in place had any effect.',0
88,Facebook is deleting an image of a cross carved in honor fallen firefighters.,1
89,E-mail petition started by the son of a New York firefighter seeks to establish a National Firefighters Day.,0
90,Congress has a 'slush fund' from which it has paid $17 million to women who accused members of sexual harassment or abuse.,1
91,Hoboken Mayor Ravi Bhalla promised to 'glorify Islam' after being elected.,1
92,"The merger of Georgia State University and Georgia Perimeter College will make GSU one of the largest universities in the nation, with more than 54,000 students.",0
93,'More than 20 million people are at risk of dying from starvation within 6 months in 4 nations.',0
94,Former President George H.W. Bush has died of food poisoning.,1
95,"Says unlike Tim Kaine, who 'invested' in education, Indiana Gov. Mike Pence 'slashed education funding.'",1
96,Says the 'bones of children' were found on Jeffrey Epstein’s island.,1
97,"A video shows a group of 'radical' Muslims rallying around a painting of Jesus' decapitated head in Dearborn, Michigan.",1
98,"President George W. Bush proclaimed, “The problem with the French is that they don’t have a word for entrepreneur.”",1
99,'The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.',0
100,A family dog saved sleeping young children from sexual abuse by biting off an intruder's genitals.,1
101,Says six eradicated diseases such as whooping cough and the bubonic plague are making a comeback 'thanks to refugees and illegal immigrants.',1
102,"'Rural schools enroll 40 percent of American children, but receive only 22 percent of federal education funding.'",1
103,"'Fireworks have never been safer, and their use continues to increase each year.'",0
104,Payment of U.S. federal income taxes is voluntary.,1
105,Jeff Goldblum criticized Mark Zuckerberg and Elon Musk for being capitalists during an MTV interview.,1
106,Cobb is one of the largest school systems (in the nation) that is debt free.,0
107,Heroin and prescription opioids are 'the number one cause of accidental or preventable death in Wisconsin.',1
108,A commencement speech by the Commanding Officer of Fort Benning touched off riots that killed 11 people.,1
109,Says a photograph shows Seattle Seahawks player Michael Bennett burning the United States flag.,1
110,Actress Martha Raye entertained troops and tended to wounded soldiers in the field in Vietnam.,0
111,Labor Union Tells Supporters to Vote For U.S. Flag Ban on Fox News Poll,1
112,Country music singer Merle Haggard left his entire estate to an LGBT group.,1
113,Pope Francis cancelled the Bible and proposed the creation of a new holy book.,1
114,Photograph shows a “redneck mansion” composed of several linked trailers.,1
115,Says Barack Obama 'didn’t do executive orders in the beginning.',1
116,"A picture shows Vice President Joe Biden groping Stephanie Carter, wife of former defense secretary Ash Carter, during a government ceremony.",1
117,"Says, 'Oregon has the third largest class size in the nation.'",0
118,"Financial conflict-of-interest 'laws don't apply to the president, right? So, the president doesn't have to have a blind trust.'",0
119,Barack Obama has been endorsed for President of the U.S. by the Ku Klux Klan.,1
120,Disaster survivor gives mistaken answer to an interviewer’s question about the loss of churches in her area.,1
121,'We are experiencing the worst economic recovery America has ever had.',1
122,Cleveland Indians second baseman Joe Gordon deliberately struck out to prevent rookie Larry Doby from looking bad during his first at-bat.,1
123,President Obama’s health care law 'represents a government takeover of health care.',1
124,"On 1 May 2016, Saturn will be prominently visible in both the day and night sky.",1
125,Saudi scientists announced that theyhad determined women were mammals but not humans.,1
126,Tampa mayoral opponent Bob Buckhorn 'supported forcing police officers to keep their guns locked in the trunks of their cruisers.',1
127,'Martin Luther King was a Republican.',1
128,Julian Assange was kidnapped from the Ecuadorean embassy in London and murdered in April 2017.,1
129,Chewing gum takes seven years to pass through the human digestive system.,1
130,The Baby Ink body art chain specializes in tattooing babies and children.,1
131,Russian President Vladimir Putin endorsed Sen. Bernie Sanders for President.,1
132,Singer DMX was arrested in 2014 for running a dogfighting ring.,1
133,The presence of electronic devices (such as iPods and cell phones) on one’s body can make lightning strike injuries more severe.,0
134,Abraham Lincoln issued a prophetic warning about the tyranny of capitalism.,1
135,'There’s no money' for Planned Parenthood in the bill that would keep the government open.,0
136,"Shortly before he died, a teen named Brian Moore penned the Internet essay now known as “The Room.”",1
137,Donald Trump referred to Canadians as 'snow Mexicans' in a 22 February 2016 tweet.,1
138,Senator Lindsey Graham once said that Republicans would 'get destroyed' if they nominated Donald Trump as their presidential candidate.,0
139,A Japanese man was found dead months after being crushed by huge pile of pornography.,1
140,'I have never asked for nor received a single earmark or pork barrel project for my state.',1
141,A Zimbabwean inventor named Sangulani Maxwell Chikumbutso invented an electric car that requires no charging.,1
142,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said 'he didn’t believe women belonged in the workplace' but belonged 'at home, cooking and cleaning and having babies.'",1
143,"'Up until two weeks ago, John McCain was a leading proponent of amnesty. Now with me challenging him, suddenly he has changed.'",1
144,President Obama plans to implement a pay freeze for active duty military personnel in 2011.,1
145,'Charlottesville car attacker is anti-Trump Antifa supporter.',1
146,Mattel has released a burka Barbie doll for the toy’s 50th anniversary.,1
147,"A student in a marine biology class turns in a term paper which includes a lavishly-drawn illustration of a whale and receives an A.  The next year a different student copies the paper, submits it, and also receives an A.  The third student to hand in the same paper, however, neglects to include the drawing of the whale and receives only a B from the professor and his written comment: “I liked it better with the whale.”",1
148,E-mail reproduces Rev. Jesse Lee Peterson’s editorial critical of New Orleans blacks and their “moral poverty.”,0
149,Singer Miley Cyrus drowned in a bathtub due to a prescription drug overdose.,1
150,'This is not a mosque. It's a cultural center that has a prayer area.',1
151,Says Ohio's Issue 2 will create a redistricting commission that will 'have a blank check to spend our money.',1
152,Was Martha Kanter 'dispatched to Corvallis with $17 million in stimulus money' to save Craig Robinson’s job?,1
153,Sasha Obama was killed in a drive-by shooting in July 2017.,1
154,The Ramnit worm has been stealing Facebook credentials.,0
155,Bush lied about weapons in Iraq?  What about the Democrats,0
156,Black Lives Matter leader Marquesha Johnson was sued for embezzling millions of dollars in donations.,1
157,The unemployment rate may be as high as '42 percent.',1
158,"Nine claims ranging from diaspora remittances to the constitution, railways, electricity and Kenya’s development.",0
159,“South Africa has one of the highest rates of rape in the world.”,0
160,"On hot summer days, you should avoid filling your car’s gas tank completely due to a risk of explosion.",1
161,"A fisherman captured a 3,000 lb. great white shark in the Great Lakes.",1
162,Fifteen homeless people in Chicago were found dead on the street because of record-low temperatures that hit the city in late January 2019.,1
163,A Kentucky Fried Chicken outlet in New York advertised a ‘Hillary Special.’,1
164,A Florida gun owner voluntarily gave up his AR-57 rifle to law enforcement after the Parkland school shooting.,0
165,Says President Barack Obama 'built this $16 trillion debt.',1
166,The word gringo came from Mexicans’ overhearing American soldiers sing the song “Green Grow the Lilacs” during the Mexican-American War.,1
167,Fox News has hired Whoopi Goldberg.,1
168,The Muslim Brotherhood has 'openly stated they want to declare war on Israel.',1
169,U.S. Congresswoman Alexandria Ocasio-Cortez said that 'private truck drivers are destroying America.',1
170,McCain says the price of a gas tax 'holiday' would be about the same as 'a Bridge to Nowhere (or) another pork barrel project.',1
171,Presidential daughter Malia Obama was named the highest-paid heir in 2017.,1
172,Pope Francis once said “Women are naturally unfit for political office.”,1
173,A video shows a sea cucumber that resembles a headless chicken.,0
174,'We now have about one-third of New York’s population on Medicaid.',0
175,Says he 'fought Obama twice and won to stop illegal immigrants from voting.',1
176,A somber image shows a man whose wife and two children were killed in a car accident.,1
177,First Lady Michelle Obama proposed a “Hug A Muslim” day to replace Columbus Day.,1
178,"Jon Voight once said 'I pray all Americans who have seen and felt the meltdown of America with the Obama years, to please fight for Donald Trump'",0
179,Mike Pence said Michelle Obama 'is the most vulgar First Lady we've ever had',1
180,Says Bill Nelson 'voted to raise our taxes 150 times.',1
181,Stormy Daniels said in an interview that Donald Trump ordered little pizzas as toppings on a regular-sized pizza.,1
182,"Under my platform, 'I will make no changes to the current (Medicare) system for current retirees and anyone approaching retirement.'",1
183,Says President Barack Obama 'has not condemned' shootings targeting police.,1
184,'Household income among Hispanic Americans has just set a new record high.',0
185,Members of Congress and their families and staff are exempt from repaying student loans.,1
186,"'In Congress, Elizabeth Warren introduced 110 bills. 2 passed. Cory Booker introduced 120 bills. 0 passed. Kamala Harris introduced 54 bills. 0 passed. Bernie Sanders never held a job until age 53. He lived off of welfare and four different women.'",1
187,President Reagan warned the public against demagogues who advocated a trade war against America's friendly trading partners in the name of protectionism.,0
188,You can avoid paying for traffic tickets or establish a new identity by obtaining an International Driver’s License.,1
189,The U.S. Department of Interior sent out an official news release stating that President Obama was reducing the size of the Navajo Reservation.,1
190,The Human Rights Campaign is 'more powerful than the NRA.',1
191,Bill Ripken's 1989 Fleer baseball card includes a hidden obscenity.,0
192,Silent film star Buster Keaton was contractually precluded from smiling on-screen.,1
193,Donald Trump is revealing information documenting that Barack and Michelle Obama were once on the verge of divorce.,1
194,Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker 'is wholly regressive.',1
195,Says Nevada lawmakers voted to allow teenaged boys to 'shower with your teenaged girls in public school locker rooms.',1
196,Map shows an optimal route for driving across the USA and hitting major landmarks in every state.,0
197,"Studies show 'the 2016 shooting and murder rate in Chicago cost us about $9.6 BILLION DOLLARS' and 'the entire City budget for 2018 is $8.6 billion dollars. This math does not work, it is financially killing our city.'",1
198,A study found that 80 percent of black men in Georgia were homosexual.,1
199,"'If you're a Mexican, you get sent back. ... But if you're from a noncontiguous country like the Central American countries' then you can stay in the United States.",0
200,'Jesus was an undocumented immigrant.',1
201,"'No Republicans voted for' recent hikes in the income tax, payroll tax, capital gains tax, dividend tax and estate tax. 'These taxes were all passed under … Obamacare.'",1
202,An Iowa policy 'provides for a state round up of Iowa citizens who might be exposed to the swine flu virus.',1
203,"Says the stimulus bill sent tax credits overseas, such as 'half a billion to an electric car company that created hundreds of jobs in Finland.'",1
204,Democratic senators “sent a letter to the prosecutor in Ukraine” in 2018 asking him to 'investigate Trump.”,1
205,"A forthcoming Russian reality show called 'Game2: Winter' will permit contestants to commit crimes, including rape and murder.",1
206,'Our children do not spend any time in school learning about our own U.S. Constitution.',1
207,Dr. Charles Stanley wrote an exhortation to Christians to pray for a John McCain victory in the presidential election.,1
208,CNN accidentally aired 30 minutes of pornography in Boston on Thanksgiving night.,1
209,Democrats 'setup' and 'manipulated' the political violence in Charlottesville,1
210,Researchers have developed genetically engineered fruit trees that bear meat.,1
211,"Delta Air Lines Delta is giving away free boxes with first-class air travel tickets and $10,000 in cash to those who follow online links.",1
212,"'This issue of busing voters in to New Hampshire is widely known by anyone who’s worked in New Hampshire politics. It’s very real, it’s very serious.'",1
213,President Obama implemented a new government policy prohibiting U.S. service members from speaking at “faith-based public events.”,1
214,States with 'the highest gun ownership rates also have the highest suicide rates.',0
215,A photograph shared widely on social media in July 2019 shows former U.S. Secretary of Labor Alex Acosta and his family.,0
216,"Lack of Food Taster Prevented President From Eating With
Republicans",0
217,'There haven't been tax cuts for the rich' in Rhode Island.,1
218,"Says the word newspaper stands for 'north, east, west, south, past and present event report.'",1
219,Escape artist Harry Houdini died from a ruptured appendix caused by his being punched in the stomach.,1
220,Mark Zuckerberg said that he was 'disgusted with social media' and that he was leaving Facebook as a result.,1
221,President Trump's notorious 'fist pump' at a Pennsylvania airport on 9/11 was offered as a greeting to a cancer victim.,1
222,A dragon skeleton was discovered in northern Iceland.,1
223,A drunk’s attempt to escape the long arm of the law goes awry when he drives off from the scene of the arrest in the wrong car.,1
224,"Photographs show Molly, a horse with a prosthetic leg.",0
225,The song 'The Twelve Days of Christmas' was created as a coded reference to important articles of the Christian faith.,1
226,Scammers trick e-mail users into opening virus-launching attachments by sending phony package delivery failure notifications.,0
227,Says China and Singapore impose the death penalty on drug dealers.,0
228,"President Barack Obama 'is the first president to keep a dog-trainer on retainer for $102,000 a year at taxpayer expense.'",1
229,"A sign in Calvert County, Maryland was erected in May 2018, warning 'liberals' to arm themselves in the event of attempts to impeach President Donald Trump.",0
230,Disney announced in March 2018 that it was remaking 'Bedknobs and Broomsticks' with Kate Winslet.,1
231,"In 2005, Senator Barack Obama expressed his opposition to 'undetected, undocumented, unchecked' immigration.",0
232,"'Actor Brad Pitt: ‘Trump is not my president, we have no future with this…’'",1
233,"Says Milwaukee County spent over $170,000 in salaries in 2010 for employees to 'participate in union activities such as collective bargaining.'",0
234,Kid Rock was photographed wearing a t-shirt featuring an electoral map in which blue states are labeled 'Dumbfuckistan.',1
235,Hate crime charges against four black people accused of beating a white teen were dropped.,1
236,The national debt grew an estimated $15 billion last weekend.,0
237,Former first daughter Malia Obama founded a website intended to discredit President Donald Trump.,1
238,Photographs show a black bear with a white cub.,0
239,Orson Scott Card's Open Letter To Every Local Paper in USA,0
240,Colin Kaepernick is lobbying to remove the National Anthem from football games.,1
241,Scam traps the unwary into giving up their AOL information by telling them roses have been ordered through 1-800-Flowers.,0
242,'Former President Bill Clinton and his Clinton Health Access Initiative (CHAI) distributed ‘watered-down’ HIV/AIDS drugs to patients in sub-Saharan Africa.',1
243,A photograph shows a crowd with their hands raised pledging allegiance to President Obama.,1
244,E-mail presents muddled comments by President Bush regarding proposed changes to Medicare/Social Security.,0
245,"As Dane County executive, Kathleen Falk raised property taxes by 'millions of dollars every year' and approved the second highest increase in the state in 2010.",0
246,Rep. Sheila Jackson Lee Tweets President Trump Determined to Start War with North Japan,1
247,A Newark woman was arrested for raping and killing her toddler son.,1
248,Six Flags is offering five free passes and unlimited free rides to everyone.,1
249,"Says Sen. Bill Nelson 'hasn’t done anything on gun safety or school safety, and nothing on gun control.'",1
250,A video shows a woman stabbing her baby to death to gain revenge on her boyfriend.,1
251,Ninety-seven percent of Americans do not receive subsidies for health care under the Affordable Care Act.,0
252,"'The Alternative Minimum Tax was never intended to hit people in middle income, upper middle income. It was meant for people who are rich and evading taxes.'",0
253,Tapping the side of a soda can will prevent its contents from foaming over when you open it.,1
254,"'Senator Cryin’ Chuck Schumer fought hard against the Bad Iran Deal, even going at it with President Obama, & then Voted AGAINST it! Now he says I should not have terminated the deal'",0
255,"At Bain Capital, 'we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.'",0
256,"Says Dr. Robert Gallo, the man who helped discover the HIV virus, confessed he was 'forced' to 'create the HIV virus as a secret weapon to wipe out the African race.'",1
257,Says opponent Ted Cruz has not led businesses.,0
258,John McCain has 'a consistent pattern of ducking important environmental votes.',1
259,Says Russian President Vladimir Putin said Pope Francis 'is not a man of God.',1
260,Left-wing protesters vandalized the home of Supreme Court nominee Brett Kavanaugh.,1
261,'Paul Broun Jr. sides with sexual deviants to support sale of 'crush videos.' ',1
262,A porn video retailer runs a clever scam by sending customers embarrassingly uncashable refund checks.,1
263,A photograph shows Hillary Clinton wearing a defibrillator under her clothes at a campaign event.,1
264,Airlines will not pair Christian pilots and co-pilots out of fear that the Rapture will snatch away both crew members capable of landing the flight.,1
265,Former president George W. Bush was arrested in Dallas for cocaine possession.,1
266,Sarah Palin claimed in an interview that Jesus Christ celebrated Easter during His time on Earth.,1
267,Video shows a driver being thrown from his car in a collision and being run over by oncoming traffic.,0
268,Properties owned by Jared Kushner in the Baltimore area have accrued multiple building code violations for rodent infestation.,0
269,John McCain was one-upped by a heckler during a campaign stop.,1
270,Says GOP recall challenger Kim Simac 'was delinquent paying her property taxes eight of the last nine years.',0
271,"'If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?'",1
272,The U.S. government assigns Social Security numbers on the basis of race.,1
273,"Sandra Day O'Connor said that Republicans were a 'vile, petulant, hateful, passel of obstructionists.'",1
274,Says Romney flip-flopped on abortion.,0
275,A few sips of hydrogen beer enables Japanese karaoke nuts to sing soprano parts and shoot blue flames out of their mouths at dramatic moments.,1
276,British Petroleum spokesperson opines “Louisiana isn’t the only place that has shrimp.”,0
277,House Minority Leader Nancy Pelosi was seriously injured in a drunk driving collision.,1
278,"Vice President Joe Biden said in a speech that 'lazy American women' brought about the downfall of the economy because they 'sit around on their behinds, doing nothing.'",1
279,'One' Texas school 'district alone -- Austin ISD -- is expected to lose more than $530 million in local property taxes to Robin Hood this year.',0
280,Preventive care 'saves money.',1
281,'Obama Announces Bid To Become UN Secretary General',1
282,Rand Paul's Summer Break Eye Surgeries,0
283,A badly-burned Polish girl will receive $3 towards her medical care every time her photo is shared on Facebook.,1
284,Image shows an x-ray of a man with a fork in his urethra.,0
285,"You can help donate food to abused, neglected, and abandoned animals by clicking a button on a web site.",0
286,A Nigerian infant was born with message written on her hands saying Jesus is coming back.,1
287,"Says President Barack Obama never said, 'No boots on the ground' in Syria.",1
288,Dr Pepper is giving away coupons for free soda in conjunction with the release of Guns N’ Roses’ Chinese Democracy album.,0
289,"Says 'Rosie O’Donnell apparently committed the same offense five times, five times, when she broke the identical law that Dinesh (D'Souza) was prosecuted for.'",1
290,"Says that as Providence’s mayor, David Cicilline said the city had a 'world-class … school system. Not only did Providence not have a world-class school system but as measured, was amongst the last school system in the entire country.'",1
291,'The Texas unemployment rate is now the lowest it’s been in 40 years & Texas led the nation last month in new job creation.',1
292,'A-Team' actor Mr. T passed away in May 2016.,1
293,'Obama secretly flees US - leaves stunning evidence behind.',1
294,A meme purporting to include an image of a Honduran asylum seeker and “caravan” member named Susana González shows the first woman to be granted asylum in the United States in that group.,1
295,"In 2006, Planned Parenthood performed more prevention services and cancer screenings than abortions, but in 2013, there were more abortions.",1
296,Coffee is sometimes referred to as a 'cup of joe' because of Secretary of the Navy Josephus Daniels.,1
297,"In an interview with Fox News in September 2018, Madonna said she regretted not voting for Donald Trump in 2016 and would support him in 2020.",1
298,"Photographs show Jasmine, a greyhound who cares for other animals at a wildlife sanctuary.",0
299,Cuban leader Fidel Castro once said he wouldn't die until the United States was destroyed.,1
300,The IRS is 'going to be in charge of our health care.',1
301,"A sheriff in Carter County, Oklahoma issued a public letter urging citizens to arm themselves following a mass shooting in San Bernardino, California.",0
302,'Popeyes manager arrested for allegedly dipping chicken in cocaine based flour to increase business sales.',1
303,Wisconsin is 'dead last in income growth' among midwestern states during Gov. Scott Walker’s term.,0
304,President Barack Obama 'has doubled the size of government since he took office.',1
305,The Joe's Crab Shack restaurant chain was criticized after a picture of a man being hanged was discovered on its table decor.,0
306,"'When I came into office, our vaccination rate in Texas was 65 percent. When I left two weeks ago, it was 95 percent.'",1
307,Images of GOP lawmakers were featured during a Channel 1 Russia broadcast on recently lifted sanctions.,0
308,Mandalay Bay security guard Jesus Campos was an 'accomplice' to Las Vegas Strip mass shooter Stephen Paddock.,1
309,Wal-Mart is selling globes with Israel labelled as ‘Palestine.’,1
310,New Zealand Prime Minister Jacinda Ardern wore a hijab and offered financial assistance in support of Christchurch shooting victims.,0
311,"Says Leah Vukmir 'claimed the open records law didn't apply to her, got sued, lost and cost taxpayers $15,000 in legal fees.'",0
312,"'Under his leadership, Tallahassee reduced its carbon intensity by roughly 40 percent.'",1
313,"Says Barack Obama is a 'hypocrite' for criticizing President George W. Bush’s 'drone attack program,' then using it aggressively as president.",1
314,"Thirty Ryder, Verizon, and U-Haul trucks have been stolen recently, presumably by terrorists who will use them in the ongoing attack on America.",1
315,'We actually made history in 2010. We came the closest in 24 years to defeating Frank Pallone.',1
316,ISIS Calls for Support of Hillary Clinton,1
317,E-mails from a company's Human Resources Director document the difficulties of office holiday party planning.,1
318,President Trump has scrapped plans for constructing a wall along the U.S.-Mexico border in favor of a proposal for a dome.,1
319,'Christian Pastor in Vermont Sentenced to One Year in Prison After Refusing to Marry Gay Couple',1
320,Hiding finely-ground glass in food is an effective method for killing a person.,1
321,Photograph shows a satellite view of a blackout in eastern North America.,1
322,'Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off Florida's coast.',0
323,Two claims on housing in South Africa,1
324,Bags of rice sent to President Eisenhower helped dissuade him from launching an attack against China.,1
325,A man known as 'the booty tickler' was arrested in Texas.,1
326,“Tourism earnings grew 20% in 2017.”,0
327,Says Jason Carter has 'gotten David Axelrod to come down and be his campaign advisor.',1
328,A pedestrian who stops by to use a funeral home’s restroom signs the visitors’ book at the wake of a stranger and hits the jackpot.,1
329,Photograph shows the North Pole at sunset.,1
330,NBC's long-running 'Saturday Night Live' has been cancelled due to low ratings.,1
331,A photograph shows a man with the word 'Trump' tattooed across his forehead.,1
332,Radio talk show host Neal Boortz delivered a controversial commencement speech at Texas A&M.,1
333,"'Gov. Crist has never wavered in his support of the Second Amendment, the right to bear arms.'",0
334,A nine-year old boy was expelled from school because he said he “didn’t like Obama.”,1
335,John Raese's wife 'is registered to vote in Florida so she can't even vote for him.',0
336,Lunar eclipses happen only during full moons.,0
337,Pat Robertson said disobedient wives should be spanked by their husbands.,1
338,Says Tennessee is providing 'millions of dollars' to virtual school company for 'results at the bottom of the bottom.',0
339,Says Newt Gingrich 'co-sponsored a bill with Nancy Pelosi that would have given $60 million a year to a U.N. program supporting China’s brutal one-child policy.',1
340,"'For the first time in history, the Democratic Congress will not allow an increase in the social security COLA (cost of living adjustment).'",1
341,The Canadian Conservative Party’s Senate caucus has as many women as any other group.,1
342,Don Lemon of CNN laughed in celebration as Democrats burned American flags in support of a 'blue wave.',1
343,"Attorney General Jeff Sessions said 'if we inflict fear and pain on children, adults won’t want to come here.'",1
344,'The State of Texas does not even use the E-Verify system to determine if someone is legally in our country when they apply for a job.',0
